电影名字,播放数量,弹幕数量,追剧数量,投币数量,点赞数量,标签,分数,打分人数,影片时长(分钟),长评数量,短评数量,简介,,,,,,
触不可及,4231000,36000,376000,73000,116000,剧情喜剧,9.9,10256,,14,2135,简介：因为一次跳伞事故，白人富翁菲利普Philippe瘫痪在床，欲招聘一名全职陪护。由于薪酬高，应聘者云集，个个舌灿莲花，却无法打动他的心。直到黑人德希斯Driss的出现才让他作出决定。,,,,,,
碟中谍6：全面瓦解,3331000,33000,488000,9932,36000,动作惊悚冒险,9.7,1798,147,3,323,简介：伊森·亨特和队友们接到了追回三个大杀伤性核武器的任务。眼见任务马上就能完成，但为了挽救其中一位队友卢瑟的生命，三个核武器被人趁机带走。中情局负责人斯隆女士调来她手下的得意猛将沃克，让他盯着伊森·亨特完成追回核武器的任务。,,,,,,
全球风暴,1256000,13000,94000,1331,14000,动作科幻灾难,7.2,635,,3,140,简介：《全球风暴》的故事发生在未来，环境恶化导致自然灾害愈演愈烈，因此世界各国通力合作，创造了能控制天气的强大气象卫星网络。但是卫星网络突发故障开始攻击地球，摧毁一切的气象大灾变席卷世界。,,,,,,
寂静之地,1386000,12000,107000,1410,18000,恐怖惊悚,5.6,984,90,8,281,简介：一个大规模的入侵行动发生，让地球几乎全灭，幸存的这一家人过着安静无声的生活，一发出声音就会被怪物抓走。《寂静之地》中的家庭必须时时保持安静，这一家人必须搞清楚哪些声音可以发出，哪些不行。,,,,,,
大黄蜂,2463000,25000,631000,7180,43000,动作科幻冒险,8.5,2348,114,8,620,简介：意图征服一切的霸天虎全员出击，塞伯坦即将陨落，B-127临危受命前往地球。在1987年的加州，B-127不仅遭到特工伯恩斯的追捕，更被闪电殴至重伤，语言模块和记忆模块严重受损。,,,,,,
盗钥匙的方法,1356000,19000,173000,11000,27000,剧情喜剧,9.8,1911,128,5,381,简介：小剧场演员樱井武史奋斗多年始终未见出头天，穷困潦倒，情场失意，绝望至极的他连自杀都不成功。无奈之下，他只得进入大众浴池洗澡，谁知却阴差阳错用一枚香皂滑到了某个陌生男子。,,,,,,
恐怖游轮,4217000,42000,272000,19000,66000,剧情惊悚悬疑,9.5,4216,99,35,1011,简介：单亲母亲杰西和一帮朋友乘游艇出海游玩，但她总有一种有不好的事情发生的感觉。不久，他们便在海上遭遇一场强烈的风暴。游艇翻船，众人落海，几经挣扎他们好不容易爬到游艇残骸上来。正当他们无计可施之时，一艘巨大的游轮向众人缓缓驶来。,,,,,,
浪客剑心 最终章 追忆篇,6795000,45000,776000,34000,71000,剧情动作冒险漫画改,9.8,4216,137,14,840,简介：幕府时代末期，外忧内患，山河动荡，百姓生活困苦，且生命时刻受到威胁。少年心太因其善良纯洁之心感动飞天御剑流高手比古清十郎，被其收入门下学习剑法，更名剑心。在国家危难之际，年轻的剑心怀揣改变时代的梦想下山，加入奇兵队，日后更被桂小五郎纳入麾下，以刽子手的身份为时代的变革尽一份绵薄之力。年仅15岁的剑心接连刺杀多名政府要员，令对手闻风丧胆，直到某一天，一名下级武士在他的脸上留下一道无法愈合的伤疤。来至京都寻找爱人的雪代巴邂逅了剑心，正是眼前这名瘦弱的男子将爱人从她的生命中带走。巴走入剑心的生活，随之经历了...,,,,,,
浪客剑心 最终章 人诛篇,6706000,60000,776000,31000,75000,剧情动作冒险漫画改,9.7,3343,137,7,528,简介：明治维新运动后十二年，日本迎来了新时代。曾经叱咤风云的刽子手绯村剑心如今已成为和平主义者，与朋友们一起在东京过着平静的生活。一天晚上，剑心最喜欢的餐厅遭到炮火袭击，只留下一张写着“人诛”的字条——有人准备替天行道，审判之日近在眼前。此人名为雪代缘，对剑心怀恨在心，带着一众手下前来复仇。目睹无数无辜之人被牵扯进这场残酷的斗争，剑心终将面临一场审判，并由此找到对过去的救赎。,,,,,,
雪莲花开——对口援疆纪实,26000,190,1077,176,1326,社会,暂无评分,评分人数不足,连载中,1,2,简介：“新疆好不好，新疆人民说了算。”中国基于基本国情和制度优势，将支援新疆建设确定为一项安邦富民的重大战略。十八大以来，中央加大援疆力度，在全国19省市对口支援下，新疆各族人民团结奋斗，基本民生全面改善，基础设施建设加快，特色产业蓬勃兴起，科教文化欣欣向荣，新疆经济建设和社会发展迈入新时代。中央广播电视总台历时近两年创作完成的《雪莲花开——对口援疆纪实》，是一部客观反映新疆各族人民创造美好生活、建设美丽新疆的大型纪录片，全片共5集，每集时长50分钟。本片创作采用纯纪实拍摄，聚焦个体人物命运，故事徐徐呈现、娓娓...,,,,,,
空想新子和千年的魔法,812000,2912,88000,2476,14000,剧情动画小说改,9.5,359,95,1,132,简介：昭和30年，位于山口县的防府市，是一个依山傍水、空气清新的美丽所在。就读小学三年级的青木新子自幼生长在这里，她最喜欢听爷爷讲述的关于这个小町千年前古国国筑的故事。某天，一个来自大都市的转学生走入新子所在的班级。,,,,,,
卧底老板,369000,1857,8253,522,10000,社会,暂无评分,评分人数不足,已完结, 全9集,0,9,简介：员工态度调查、自带午餐讨论会、焦点小组、非正式谈话……经理们费尽心思想了解员工的想法，但最多只能得到模棱两可的结果。你的员工在想些什么？有没有办法一探究竟？本系列每集都有一位大公司的高级执行官隐藏身份作为入门新手到旗下公司"实习"。,,,,,
因為不是真正的夥伴而被逐出勇者隊伍，流落到邊境展開慢活人生（僅限港澳台地區）,514000,7853,26000,3007,13000,小说改日常恋爱,暂无评分,评分人数不足,连载中, 每週三更新,无,无,简介：「你不是真正的夥伴——」已經不能在前線戰鬥的英雄·雷德，被隊伍裡的賢者判斷不再是戰力後逐出了勇者隊伍。「唉——那段日子可真難熬啊」因為雷德離開了隊伍，賢者一行人陷入了大混亂中，而當事人卻一無所知的在邊境開了一家藥店，興致滿滿地度過每一天。「我也可以在這家店工作嗎？需要包住！」曾經是夥伴的公主突然到來？！“悠閒愉快地經營藥店”、“和冒失鬼公主的超甜生活”、沒有得到回報的英雄上演的美妙第二人生即將開幕！,,,,,
本田小狼与我,804000,12000,69000,5637,18000,小说改日常治愈,9.4,927,已完结, 全12话,9,320,简介：我曾经认为，我一无所有。小熊是就读山梨县北杜市一所高中的女孩。没有父母朋友，也没有任何兴趣，过着无所事事的日子的她，不经意地看到了二手的Super Cub，一辆又称本田小狼的摩托车。小熊买下了这辆摩托车，单调的日子开始发生改变。,,,,,
说谎游戏,237000,888,19000,320,4510,剧情犯罪惊悚悬疑,暂无评分,评分人数不足,102,0,17,简介：詹姆斯的家中世代经营着庞大的纺织产业，作为父亲唯一的儿子，詹姆斯日后势必继承父亲的纺织帝国，未来无可估量。然而某日，一位妓女的死亡令詹姆斯被卷入了罪与罚的漩涡之中。,,,,,,
白狗,97000,578,3710,87,4908,剧情恐怖惊悚,暂无评分,评分人数不足,90,0,8,简介：朱莉是一名女演员，一次意外中，她驾车撞伤了一只狗，四处求医无门又不忍心弃之不管的朱莉最终决定将狗收留。有狗狗陪伴在身边，朱莉的心中多了一份安全感，当她看见狗和入室抢劫的歹徒英勇搏斗之后，朱莉更是对这只勇敢的动物充满了信任和依赖。随着时间的推移，朱莉发现对自己忠心耿耿的狗对黑人却有着超乎寻常的强烈攻击性。,,,,,,
明星伙伴,32000,47,1149,28,2591,喜剧,暂无评分,评分人数不足,104,0,0,简介：电影明星文森特跟他的好兄弟艾里克、特托及伽玛重出江湖，加入金牌经纪人兼电影公司总经理阿里的旗下。他们在竞争激烈的好莱坞演艺圈里摸爬滚打，杀出重围，在这期间，他们的目标也发生了微小的变化，但彼此的友谊仍坚定无比……,,,,,,
登陆日：猛犬连,203000,407,3065,129,4266,动作战争,7,229,85,0,87,简介：第二次世界大战中，根据英国盟军埃森·豪威尔将军策划的“霸王”行动，为所有同盟军争取诺曼底登陆时间成为关键。1944年6月6日，诺曼底登陆拉开序幕。为了夺取海滩制高点霍克角山脊，压制德国布防在犹他和奥马哈海岸的重型火炮及机枪火力点，并销毁敌军的主力大炮，美军陆军中校詹姆斯·厄尔·鲁德尔率领第二游骑兵部队“猛犬连”成为这项任务的前锋部队。,,,,,,
名扬四海,161000,1495,16000,796,5745,剧情喜剧爱情家庭,9.3,164,122,0,27,简介：根据1980年艾伦-帕克导演的经典歌舞片《名扬四海》改编。在纽约表演艺术高中，年轻人的任何梦想都将可能被实现。无论是舞蹈、歌唱、表演或是拥有其他艺术才华的学生们都将可能在这里得到实现自己艺术梦想的宝贵机会。,,,,,,
求偶游戏 (孟非配音版),2862000,15000,501000,3190,25000,动物自然,9.8,244,已完结, 全5集,1,48,简介：这是动物为寻找配偶繁衍后代而引发的故事，故事引人入胜、令人捧腹又充满戏剧性。从新手到老手，从忠诚的伴侣到彻头彻尾的骗子，从浮夸炫耀到明目张胆的行为。我们将揭示动物寻找配偶的非凡策略。《求偶游戏 》 将深入分析如何才能成功地收获爱情。,,,,,
浪客剑心：传说的完结篇 ,3811000,50000,776000,22000,44000,剧情动作漫画改,9.7,2423,134,3,312,简介：为了救神谷薰，绯村剑心纵身跃入大海，昏迷中他飘到某座小岛，最终为传授了他飞天御剑流的师父比古清十郎所救。深感到自身与志志雄真实的巨大差距，为了拯救全日本，剑心恳请师傅传授他飞天御剑流的最高奥义。与此同时，志志雄剑指东京，迈出武力夺国的下一步。,,,,,,
浪客剑心：京都大火篇 ,3840000,53000,776000,24000,52000,动作,9.6,2302,138,2,317,简介：进入了明治时代，曾经的“刽子手拔刀斋”绯村剑心已经习惯了神谷道场的安宁生活。谁知就在这一天，倒幕战争时的旧友——号称维新三杰之一的大久保利通将其请去。原来继承了剑心刽子手身份的志志雄真实当年被新政府背叛，侥幸活下来的志志雄正秘密筹措称霸日本的可怕计划。,,,,,,
连体双胞胎,15232000,5782,27000,4182,190000,社会医疗,9.7,134,已完结, 全2集,0,26,简介：奥蒙德街医院(Great Ormond Street Hospital)是世界连体双胞胎分离领域的领军医院。《连体双胞胎》揭示了分离连体的变革性手术，世界各地的连体双胞胎来到这里。《连体双胞胎》会告诉你生命是怎么样紧密联系在一起的？分离意味着什么？以及连体双胞胎的科学可以告诉我们什么。,,,,,
007外传之巡弋飞弹,453000,2192,383000,418,5234,动作惊悚冒险,暂无评分,评分人数不足,134,0,8,简介：007屡立战功，这次，他运用一系列新奇而惊人的武器，竟然单枪匹马就除掉了敌人的一支军队。由于007的出色表现，他获得难得的一个长假期。然而正在此时，魔鬼党却将军队的两枚重要的飞弹却被偷走，英国情报部无奈之下只好将正在炮温泉的邦德召了回来。,,,,,,
007之霹雳弹,155000,2569,383000,269,984,动作惊悚冒险,暂无评分,评分人数不足,130,0,12,简介：007邦德这次的行动将会惊险万分，因为英国军方将派他完成一项关系到英国各大城市人民安危的行动。当然，邦德随身配备的各式各样的武器将会大大增加他的胜算。这次任务起因于一个世界性的恐怖组织——魔鬼党，他们通过卧底获得了美国准备运输两枚原子弹前往英国的计划，于是在半路上拦截了美国军方的运输队，抢走了原子弹。,,,,,,
007之雷霆谷,159000,3433,383000,227,882,动作科幻惊悚冒险,暂无评分,评分人数不足,116,0,8,简介：一天，美国太空船遭到了不明飞行物的攻击，美方怀疑是苏联的阴谋，目的是想独霸太空。美方测出了不明飞行物的降落地点是在日本，于是英国军方派出007前往日本替美方调查此事。,,,,,,
007之八爪女,145000,2444,383000,195,782,动作惊悚冒险,暂无评分,评分人数不足,130,0,7,简介：这次007的任务是追寻真正的法布尔金蛋，在追踪过程结识了美丽的马戏团女郎“八爪女”。007在“八爪女”的房间找到了重要的证据，从而揭露了苏联的一个大阴谋。,,,,,,
007之择日而亡,683000,9707,383000,963,3289,动作惊悚冒险,9.1,192,132,1,19,简介：特工英雄007詹姆斯?邦德这次在北朝鲜发现了一位世界级的媒体大亨——盖斯特维的阴谋诡计。盖斯特维妄图研制一枚类似于第二颗太阳那样的卫星来挑起全球战争，进而达到他控制地球的企图。,,,,,,
黑色孤儿 第二季,1098000,13000,42000,844,4322,剧情,9.6,120,已完结, 全10集,0,32,简介：《黑色孤儿》第二季将以Sarah不顾一切的寻找她失踪女儿Kira的故事开始。她以其焦土战术（军队撤退时摧毁一切敌军可利用之物）与支持克隆人的Rachel开战，使得所有克隆人都处于被分化和受到威胁的境地之中。一旦Sarah发现了更多关于她的过去的事，神秘的新角色也随之而来，他们值得信任么？,,,,,
