电影名字,播放数量,弹幕数量,追剧数量,投币数量,点赞数量,标签,分数,打分人数,影片时长(分钟),长评数量,短评数量,简介,
电影名字,播放数量,弹幕数量,追剧数量,投币数量,点赞数量,标签,分数,打分人数,影片时长(分钟),长评数量,短评数量,简介,
人工性智能,149000,208,2117,64,4966,剧情爱情科幻,暂无评分,评分人数不足,85,1,16,简介：埃德尔兹·瑞辛是一部激动人心的科幻爱情小说，讲述了跨国公司埃德尔兹公司在不久的将来对半人马座阿尔法进行的开创性太空任务。埃德雷兹招募了一名在新改革的未来苏联受训的斯拉夫宇航员米卢，并与尼曼尼一同前往，尼曼尼是一名女性机器人，旨在满足他的任何愿望。,
大型动物手术,167000,443,2946,262,4059,动物,暂无评分,评分人数不足,已完结, 全3集,0,2,简介：地球上大型动物有着令人难以置信的生理结构，本系列将通过手术台上的救治，揭示了这些生物样貌的奇迹。这些突破性的手术将由世界上最顶尖的外科医生完成。本系列以前所未有的方式捕捉了生死攸关的治疗方法，探索为什么狮子的吼声在五英里外就能听到，大象是如何连续数天不睡觉的。这是一部充满情感的故事，每一集都聚焦于一种大型动物的治疗手术。,
空中塞车 ,33000,238,782,37,3176,剧情喜剧爱情,暂无评分,评分人数不足,124,0,5,简介：尼克是一名空中雷达管制员，细心谨慎的工作作风让他在公司内饱受好评。一个名叫罗素的男人的出现终结了尼克平静的生活，他在各方面都更胜罗素一筹，面对如此强劲的敌人，尼克会做出怎样的举动呢？,
全天候谋杀案调查（僅限港澳台地區）,248,1,37,2,264,社会罪案,暂无评分,评分人数不足,已完结, 全5集,0,0,简介：本系列将带领观众深入犯罪调查的第一线。随着时间的流逝和嫌疑人的出现，庞大的专家团队日以继夜地工作来解决一桩桩重要案件，侦探们拼凑线索，寻找线索，而法医团队则收集关键证据。本片还将深入审判过程，我们将为案件的宣判屏息，带领观众参与最真实的案件破获过程。,
魔幻时刻,1546000,7204,46000,3780,14000,喜剧,9.6,617,136,2,130,简介：黑帮小喽罗备后登与老大天盐幸之助的女人高千穗玛丽有染，惹来杀身之祸。为保性命，备后不得不接受寻找传奇杀手富坚的任务。走投无路之时，他突发妙策，假扮成一名正在筹拍黑帮电影的导演，邀请多年来辛苦打拼却功不成名不就的小演员村田大树出演杀手富坚…,
最爱,4915000,12000,38000,3791,11000,剧情悬疑情感,8.7,473,已完结, 全10集,3,174,简介：“真田健康”的社长真田梨央（吉高由里子饰）是朝气蓬勃的有名实业家。当她在15年后再次见到曾经心意相通的宫崎大辉（松下洸平饰）时，大辉是刑警，梨央是杀人事件的重要证人。15年前的2006年，高中3年级的梨央，爱慕着田径部的王牌大辉。大辉也爱慕着梨央，决定在她的推荐入学考试结束后向她告白。某天晚上，宿舍里发生了事件。担心梨央的母亲真田梓（药师丸博子饰）派律师加濑贤一郎（井浦新饰）去找梨央。,
乡村牧师日记,44000,68,3796,184,3326,剧情悬疑,暂无评分,评分人数不足,115,0,4,简介：一个青年牧师在日记中向上帝袒露心声。年轻的牧师初到村庄，感受到这里的寒冷和孤苦，他怀着一腔热忱，希望用自己的力量教化众生，令人们更加虔诚，但和村人接触之下他才发现，他们浅薄、功利，有的村民连妻子葬礼都不肯花钱…,
我们的村庄,6009000,9366,335000,16000,210000,美食人文社会动物,暂无评分,评分人数不足,连载中,0,12,简介：这是一档致力于乡村振兴的纪录片，主要是帮助全国各地的乡村推广农产品，同时也是带观众去了解全国各地农村的风土人情。,
长夜难明,72000,27,1089,25,322,剧情短片,暂无评分,评分人数不足,15,0,1,简介：一场短暂的相遇，一个平常的夜晚，将一个“离家出走”的少年卷入到这个没有真相的世界中。,
卧底肥妈2 ,94000,2027,23000,400,4827,喜剧动作惊悚,9.6,112,99,0,21,简介：FBI探员马刚最近正情绪低落，却又有大案件找上了他。原来政府的电脑突然死机，很多绝密文档都被人浏览过了。FBI怀疑电脑工程师汤姆有重大嫌疑，却又一直都找不到证据，于是只好派马刚再次出山。,
彭山消暑记,18000,30,308,44,136,剧情短片,暂无评分,评分人数不足,10,0,2,简介：爬山、游泳、一顿接风洗尘的小餐遙遙暮歸途，再會是何年别离时意非轻，相逢亦怅然暑山炎夏过去的故事没来得及讲完少年的离别，成长的足迹,
惹火上身,30000,36,746,36,2899,喜剧,暂无评分,评分人数不足,91,0,0,简介：切奇．马林和汤米．冲是美国著名的喜剧谐星，也是配合默契的黄金搭档，他们自编自演了五部电影，都以他们所经历的有趣故事为内容，本片是其中之一。描述两名谐星到荷兰参加阿姆斯特丹电影展，不料却碰上毒贩，阴差阳错被人追捕。,
皇室风流史 ,151000,3105,13000,524,6704,剧情爱情传记历史,9.3,112,137,1,37,简介：医师乔安纳·费德里克·斯特恩斯被丹麦国王克里斯蒂安七世相中，叫来陪伴他一同游历欧洲。作为国王的私人医生，斯特恩斯获得了国王的信任，赢得了王后卡罗琳·马蒂尔德的好感。他试图发动政变，最后却被以“滥用职权”和“侵犯国王尊严”的罪名处死。,
狂蟒之灾2,525000,3029,17000,263,4999,动作惊悚冒险灾难,8.9,104,97,0,20,简介：故事发生在位于婆罗洲的原始丛林中，比尔带领着他的探险小队穿行于其中，寻找着一种名为“血兰”的珍稀植物。在离目标越来越近的同时，危险也不期而至。血兰的力量没有使人类返老还童，却将一群蛇类变得凶猛而恐怖,
什物猎手,193000,1144,2095,683,8144,人文社会,9.2,160,连载中, 每周四 12:00更新,0,133,简介：《什物猎手》，不同于一般的纪录片，但却又无比真实。主持人嘉华，一个海外归来的邻家社恐男孩（注意是“社交恐怖分子”！），每周讲述一个从普通人的角度猎探体验一种潮流文化的异趣故事：街舞，说唱，冲浪，涂鸦。潮流文化和普通人距离总是太远，在这档节目里，主创团队与主持人希望用亲身体验和无厘头的方式让每一个人都能够近距离体会到潮流文化的的苦和酷。不会跳街舞的人学街舞参加battle大赛，不会说唱的人从头写歌词做伴奏拍MV，不会冲浪的人扎身海南的浪花一朵朵，不会涂鸦的人在大街上喷涂上了"鸦"......潮流文化，可以离你很远，也...,
成长吧！大熊猫,1875000,4048,10000,3170,144000,萌宠,暂无评分,评分人数不足,连载中,0,44,简介：节目聚焦中国大熊猫保护研究中心四川卧龙神树坪基地2021年新生的四只熊猫宝宝及它们的饲养员们，以“视频日记”的纪录方式，跟拍熊猫宝宝从出生、起名、成长、迁移等“熊生”命运，以全外景拍摄的方式纪录熊猫宝宝的成长过程，注重成长过程中仪式感、事件性的呈现和熊猫与饲养员的人物故事呈现及情感表达。,
万籁,4220000,7328,25000,16000,108000,音乐访谈,9.7,266,连载中, 每周一22:40直播,0,120,简介：万籁俱寂，且听风吟，哔哩哔哩惊喜启动一档只在夜晚出没的“深夜陪伴·限定直播企划”，每场邀请4-5位人气歌手、知名作家、宝藏UP主，用歌声、琴声、读书声等世间“万籁”，陪伴每一个深夜还未入眠的你，携手共度温暖的 “One Night”。,
日之丸灵魂~幕后的英雄~,76000,135,12000,111,3022,剧情,暂无评分,评分人数不足,115,0,11,简介：影片由饭塚健([虹色时光])执导，杉原宪明([贞子])、铃木谦一(《恶党：犯罪者追踪调查》)操刀剧本，故事讲述1998年的长野冬奥会，日本获得跳台滑雪男子团体赛金牌，而在这背后，有25名试跳员默默支持着整个团队，田中圭将饰演其中一员西方仁也。,
又见三星堆,2756000,1110,46000,3503,60000,人文历史,8.8,209,已完结, 全6集,0,46,简介：沉睡三千年，再醒惊天下。《又见三星堆》走进再次苏醒的三星堆，以新祭祀坑3-8号坑的发掘为依托，以考古人和重要文物为故事支点，全面记录三星堆发掘准备、发掘现场、文物修复、科学研判等过程，揭开三星堆遗址的神秘面纱。,
逐浪之冬,73000,4,281,51,887,运动,暂无评分,评分人数不足,已完结，共1集,0,0,简介：奥地利运动员乔迪·史密斯十年以来首次在冬季回到南非，与他的朋友迈克·凡布拉里一起沿着南非海岸开启了一场特殊的冲浪旅行。,
智人女性,338000,442,6501,309,3458,历史,暂无评分,评分人数不足,已完结，共1集,0,3,简介：四万五千年前的冰河时代，欧洲四角出现了稀有珍贵的雕像、雕刻和图画。它们被称为史前的维纳斯雕像，它们跨越了千年，激发了许多想象，但是史前女性到底长什么样呢?这部影片提供了一个新的视角，并对最新研究进行了前所未有的分析，挑战了之前所说的一切。本片试图恢复史前女性的样貌，以及她在过去社会中的地位和角色。,
笑傲江湖,27172000,659000,158000,57000,155000,剧情武侠经典情感,9.7,6151,已完结, 全40集,48,2047,简介：华山派大弟子令狐冲（李亚鹏 饰）受师父岳不群（巍子 饰）之命，与青梅竹马的师妹岳灵珊（苗乙乙 饰）乔装成酒栈伙计，伏于武夷山脚。途中令狐冲巧遇魔教长老曲洋（丛志军 饰），二人惺惺相惜，师兄妹两人还救下了被青城派寻仇的福威镖局少镖头林平之（李解 饰）。林平之被带回华山后岳灵珊对其芳心暗许，这让令狐冲心里不是滋味，加上他身受重伤可能不久于人世，于是决定出走。行走江湖的途中他遇到了魔教圣姑任盈盈（许晴 饰），任盈盈喜欢他，不惜动用人力物力下为其疗伤。因缘际会，令狐冲得以认识了风清扬（于承惠 饰），习得独孤九剑，一...,
中国节气·立夏奇遇记,109000,785,13000,3614,8675,文化,9.9,135,已完结, 全1集,0,56,简介：《立夏奇遇记》讲述了一名现代不得志、身心迷茫的青年叶空，恰好在立夏之时迎来30岁生日，通过两次梦境穿越到1919年“五四运动”前后不断经历精神洗礼，而后发生内心改变决心三十而立，主动拥抱生活与梦想的故事。节目恰好对应立夏，万物致此皆长大的节气特征。,
拼布娃娃,57000,159,1219,49,1621,,暂无评分,评分人数不足,已完结, 全6集,0,0,简介：故事讲述一宗牵涉六个受害人的谋杀案，他们被肢解并缝合成一个怪诞的尸体，尸体被称为「Ragdoll」。这宗震惊社会的案件由刚回复职务的伦敦警察厅侦缉警长NathanRose(HenryLloyd-Hughes饰)、前者好友兼上司侦缉警长EmilyBaxter(ThalissaTeixeira饰)以及警员LakeEdmunds（LucyHale饰演）负责调查；当「尸偶杀手」为了嘲笑警方，向他们发送一张包括NathanRose在上面的新受害人名单后，主角们将承受前所未有的压力。,
最终行动,101000,262,3877,85,4810,剧情传记历史,暂无评分,评分人数不足,122,0,10,简介：改编自著名历史真实事件：以色列摩萨德组织追捕纳粹德国高官、被称为“死刑执行者”的阿道夫·艾希曼的故事。,
红姑寨恩仇记,32000,51,547,28,3076,剧情,暂无评分,评分人数不足,90,0,0,简介：明末，官府腐败，民不聊生。一次，红姑所在的郭家杂技大班遭霍太爷门下追杀，幸得好心的霍公子相救。红姑、郭师傅又被劫入红姑寨，见到上一代郭家班人寨主老红姑。老红姑讲述了当年霍太爷怎样残害他们。红姑下山报仇。面对善良的霍公子，红姑转身离去…,
从海底出击,246000,2748,10000,780,7665,剧情战争历史冒险,9.5,200,209,3,44,简介：二次世界大战期间，德国发明了一艘出没无踪的潜艇，在海战中无往不利。一次，这艘潜水艇奉命出击，执行对英国船队的袭击任务，当他们完成任务返航途中，却遭遇上前所未见的危机。,
罪恶赎金,42000,102,951,55,3031,动作犯罪惊悚,暂无评分,评分人数不足,90,0,3,简介：汤姆与安娜是一对儿生活在伦敦的美国夫妇，受到金融风暴影响,生活陷入拮据困境。在即将面临被驱逐的紧要时刻，一笔“意外之财”从天而降。岂料私藏这笔钱没有想象中容易。在这背后竟然隐藏着一场连环黑吃黑的毒品交易和精心策划的复仇计划…,
今晚你要去哪里,3064000,6319,98000,5158,35000,人文社会,9.1,126,已完结, 全10集,0,24,简介：《今晚你要去哪里》节目以情感为“主定位”，关注当代热点社会话题、职场话题、家庭话题等，以微记录微纪实的方式，走进不同人物的真实生活。通过侧拍对聊的方式，激发人物心底的情感。拍摄暂定晚上，夜晚是人最容易感性的时间，可以引发拍摄主角谈论更多真实的事件，同时也可以带动观看者情绪，在更安静的共情观看，思考自己的当下。,
情证今生,121000,337,4749,84,3427,剧情爱情,暂无评分,评分人数不足,159,0,5,简介：法国占领越南的最后年代里，法国贵妇艾丽亚娜在越南南部经营橡胶园，她收养了父母双亡的越南公主卡米尔，两人相依生活。艾丽亚娜爱上年轻的越南殖民军海军军官詹·巴普蒂斯，但后来詹却与卡米尔陷入爱河。卡米尔誓死要嫁于詹，并离家出走追随詹…,
武士马拉松 ,115000,1018,3628,187,4655,剧情动作历史,暂无评分,评分人数不足,105,0,6,简介：影片改编自土桥章宏的小说《幕末马拉松武士》，以江户时代为背景，讲述为抵御来自外国的威胁、锻炼藩士身心，安中藩藩主下令举办名为“安政远足”的长跑竞赛，但这场活动却阴错阳差地被幕府视为叛乱...,
蝙蝠洞穴探秘,310000,58,1206,166,3549,动物,暂无评分,评分人数不足,已完结, 全2集,0,1,简介：蝙蝠是地球上最迷人但最神秘的生物之一。《蝙蝠洞穴探秘》以前所未有的方式揭示了它们的秘密世界，借助先进的红外线和热感摄像机，我们可以看到英国最大的马蹄蝠栖息地里的细节。跟随新一代幼崽度过它们出生后的关键几周，它们会成功地学会用声音而不是视觉来飞行、导航和狩猎吗?当这些蝙蝠宝宝第一次飞出巢穴时，节目捕捉到了蝙蝠惊人的能力。,
墨西哥往事 ,79000,602,22000,132,4551,动作犯罪,暂无评分,评分人数不足,102,0,9,简介：吉他手埃尔是墨西哥荒漠上最令人闻风丧胆的神枪手，在痛失爱妻后，埃尔开始四处流浪。大毒枭巴罗瑞在这时逐渐建立了他的毒品王国，甚至密谋刺杀总统。CIA探员桑德斯找到了埃尔。曾经的铁血战士埃尔当然不会袖手旁观，他终于重出江湖。,
戴夫号飞船 ,239000,1811,13000,496,7675,喜剧爱情科幻家庭,9.2,117,90,1,36,简介：身着一身白西装的戴夫看起来是个彬彬有礼的中年人，虽然身处现代纽约的他总显得和这个年代、这个大都市格格不入，但谁能想到，这个看起来非常真实的“人”其实是一架人形飞船，身体里住着许多外星小人。飞船在适应地球生活时惹了一堆麻烦之后，飞船竟然自主爱上了一个美丽的地球女人吉娜...,
